Asignatura	Genero	Edad	Repeticiones	Masa corporal	Estatura	Carrera	Materias matriculadas	Zona.residencia	Estrato
Bioestadistica.enfermeria	Masculino	22	Ninguna	88	1.78	Enfermería	8	Urbano	2
Estadistica.I	N/A	28	Ninguna	70	1.61	Ing.Industrial	3	Urbano	3
Estadistica.I	N/A	28	Ninguna	70	1.61	Ing.Industrial	3	Urbano	3
Estadistica.II	Femenino	42	Ninguna	55	1.6	Ing.Industrial	3	Urbano	3
Diseño.Experimental	Masculino	22	Ninguna	77	1.76	Ing.Ambiental	6	Urbano	4
Estadistica.I	Femenino	27	Ninguna	59	1.62	Comercio.Ext	5	Rural	3
Matematicas.II	Femenino	18	Ninguna	59	1,568	Comercio.Ext	8	Urbano	3
Matematicas.II	Femenino	22	Ninguna	60	1.67	Administración	6	Urbano	3
Algebra	Masculino	16	Ninguna	58	1.83	Ing.Sistemas	7	Urbano	4
Algebra	Masculino	16	Ninguna	58	1.83	Ing.Sistemas	7	Urbano	4
Algebra	Femenino	17	Ninguna	53	1.55	Ing.Ambiental	7	Rural	2
Algebra	Femenino	26	Ninguna	54	1.67	Ing.Ambiental	7	Urbano	2
Algebra	Femenino	18	Ninguna	63	1.64	Ing.Ambiental	7	Urbano	4
Matematicas.II	Femenino	18	Ninguna	69	1.67	Administración	7	Urbano	3
Algebra	Masculino	17	Ninguna	75	1.78	Ing.Sistemas	7	Rural	2
Estadistica.II	Masculino	21	Ninguna	55	1.72	Ing.Industrial	5	Urbano	2
Estadistica.II	Masculino	21	Ninguna	55	1.72	Ing.Industrial	5	Urbano	2
Estadistica.II	Masculino	N/A	1.vez	67	1.68	Ing.Industrial	4	Urbano	2
Algebra	Masculino	20	1.vez	68	1.76	Ing.Ambiental	7	Urbano	3
Matematicas.II	Femenino	21	Ninguna	60	1.76	Administración	4	Urbano	3
Algebra	Femenino	19	Ninguna	51	1.56	Ing.Industrial	7	Urbano	4
Bioestadistica.enfermeria	Femenino	21	Ninguna	60	1.6	Enfermería	5	Rural	4
Estadistica.II	Femenino	36	Ninguna	78	1.67	Ing.Industrial	4	Urbano	3
Matematicas.II	Femenino	18	2.veces	55	1.53	Administración	6	Urbano	4
Algebra	Masculino	17	Ninguna	61	1.74	Ing.Sistemas	7	Urbano	2
Algebra	Femenino	16	Ninguna	54	1.64	Ing.Industrial	7	Urbano	2
Matematicas.II	Femenino	18	Ninguna	56	1.64	Comercio.Ext	6	Urbano	3
Matematicas.II	Masculino	19	Ninguna	62	1.77	Contaduría	6	Urbano	4
Algebra	Masculino	16	Ninguna	60	1.7	Ing.Ambiental	7	Urbano	2
Estadistica.II	Femenino	20	Ninguna	47	1.69	Ing.Industrial	5	Urbano	3
Algebra	Masculino	20	1.vez	73	1.78	Ing.Industrial	5	Urbano	3
Matematicas.II	Masculino	19	Ninguna	61	1.73	Comercio.Ext	8	Urbano	4
Matematicas.II	Femenino	20	Ninguna	65	1.62	Contaduría	6	Urbano	3
Matematicas.II	Masculino	17	Ninguna	90	1.85	Contaduría	6	Rural	3
Matematicas.II	Masculino	17	Ninguna	90	1.85	Contaduría	6	Rural	3
Matematicas.II	Masculino	17	Ninguna	90	1.85	Contaduría	6	Rural	3
Matematicas.II	Femenino	18	Ninguna	57	1.57	Comercio.Ext	7	Urbano	3
Matematicas.II	Femenino	18	1.vez	59	1.7	Administración	6	Urbano	3
Algebra	Masculino	17	Ninguna	54	1.6	Ing.Electronica	7	Urbano	2
Algebra	Femenino	18	Ninguna	66	1.65	Ing.Industrial	7	Urbano	5
Matematicas.II	Femenino	19	Ninguna	N/A	1.68	Comercio.Ext	7	Urbano	3
Matematicas.II	Femenino	19	Ninguna	55	1.67	Contaduría	5	Urbano	3
Matematicas.II	Masculino	19	Ninguna	N/A	1.8	Comercio.Ext	6	Urbano	3
Matematicas.II	Masculino	25	Ninguna	75	1.75	Administración	4	Rural	2
Algebra	Masculino	19	1.vez	52	1.71	Ing.Sistemas	7	Urbano	1
Matematicas.II	Femenino	20	Ninguna	52	1.59	Comercio.Ext	6	Urbano	3
Matematicas.II	Femenino	22	1.vez	49	1.57	Comercio.Ext	6	Urbano	2
Matematicas.II	Femenino	20	Ninguna	53	1.59	Administración	6	Urbano	2
Matematicas.II	Femenino	20	Ninguna	56	1.65	Comercio.Ext	5	Urbano	4
Algebra	Femenino	20	1.vez	51	1.58	Ing.Ambiental	7	Urbano	2
Estadistica.I	Masculino	24	Ninguna	80	1.8	Ing.Sistemas	6	Urbano	3
Algebra	Masculino	20	Ninguna	80	1.85	Ing.Sistemas	7	Urbano	4
Algebra	Masculino	18	Ninguna	56	1.58	Ing.Sistemas	7	Urbano	2
Matematicas.II	Femenino	23	Ninguna	47	1.55	Administración	7	Urbano	3
Matematicas.II	Femenino	17	Ninguna	49	1.53	Administración	8	Urbano	3
Matematicas.II	Femenino	21	1.vez	73	1.78	Administración	5	Urbano	3
Estadistica.I	Masculino	20	Ninguna	66	1.8	Ing.Sistemas	6	Urbano	1
Algebra	Masculino	16	Ninguna	54	1.83	Ing.Sistemas	7	Urbano	3
Algebra	Femenino	20	2.veces	58.5	1.61	Ing.Industrial	6	Rural	3
Algebra	Masculino	17	Ninguna	49	1.6	Ing.Sistemas	7	Urbano	2
Algebra	Masculino	17	Ninguna	55	1.58	Ing.Sistemas	7	Urbano	2
Estadistica.I	Masculino	23	Ninguna	62	1.65	Comercio.Ext	6	Urbano	2
Algebra	Masculino	23	Ninguna	67	1.72	Ing.Sistemas	7	Rural	3
Algebra	Masculino	23	Ninguna	67	1.72	Ing.Sistemas	7	Rural	3
Algebra	Femenino	17	Ninguna	75	1.7	Ing.Ambiental	7	Rural	2
Estadistica.I	Masculino	24	1.vez	70	1.73	Administración	8	Urbano	4
Algebra	Masculino	18	Ninguna	111	1.8	Ing.Sistemas	7	Urbano	2
Estadistica.I	Femenino	22	Ninguna	55	1.62	Administración	7	Urbano	3
Algebra	Masculino	18	3.veces	N/A	N/A	Ing.Sistemas	5	Urbano	1
Algebra	Masculino	16	Ninguna	62	1.7	Ing.Sistemas	7	Urbano	3
Estadistica.II	Masculino	19	Ninguna	79	1.72	Ing.Sistemas	7	Urbano	3
Algebra	Femenino	18	1.vez	65	1.7	Ing.Ambiental	5	Urbano	2
Estadistica.I	Femenino	21	1.vez	68	1.7	Enfermería	6	Urbano	3
Algebra	Femenino	20	Ninguna	56	1.6	Ing.Ambiental	7	Urbano	3
Algebra	Masculino	20	1.vez	75	1.70	Ing.Sistemas	6	Rural	2
Matematicas.II	Masculino	21	Ninguna	68	1.8	Administración	6	Urbano	3
Algebra	Masculino	18	Ninguna	90	1.86	Ing.Sistemas	7	Urbano	3
Algebra	Masculino	16	Ninguna	58	1.83	Ing.Sistemas	7	Urbano	4
Algebra	Masculino	17	Ninguna	60	1.65	Ing.Sistemas	7	Urbano	2
Bioestadistica.enfermeria	Masculino	20	Ninguna	60	1.7	Enfermería	8	Urbano	2
Algebra	Femenino	19	1.vez	51	1.67	Ing.Industrial	7	Urbano	2
Algebra	Masculino	17	Ninguna	56	1.62	Ing.Sistemas	7	Urbano	2
Bioestadistica.enfermeria	Femenino	21	1.vez	47	1.58	Enfermería	8	Urbano	3
Estadistica.I	Masculino	28	Ninguna	66	1.67	Ing.Industrial	5	Urbano	3
Matematicas.II	Femenino	18	Ninguna	52	1.55	Contaduría	6	Rural	2
Algebra	Masculino	18	Ninguna	74	1.86	Ing.Sistemas	8	Urbano	3
Algebra	Masculino	16	Ninguna	82	1.68	Ing.Electronica	7	Urbano	3
Matematicas.II	Femenino	18	Ninguna	55	1.65	Contaduría	7	Urbano	2
Algebra	Femenino	16	Ninguna	50	1.57	Ing.Ambiental	7	Urbano	2
Algebra	Masculino	24	Ninguna	73	1.71	Ing.Industrial	7	Urbano	3
Matematicas.II	Masculino	21	Ninguna	76	1.77	Ing.Industrial	5	Urbano	3
Matematicas.II	Femenino	32	Ninguna	72	1.57	Administración	4	Urbano	3
Algebra	Masculino	19	Ninguna	66	1.8	Ing.Sistemas	7	Rural	3
Algebra	Masculino	17	Ninguna	50	1.62	Ing.Sistemas	7	Rural	3
Estadistica.I	Masculino	20	Ninguna	73	1.75	Ing.Sistemas	5	Urbano	3
Matematicas.II	Femenino	19	Ninguna	58	1.62	Administración	6	Urbano	3
Estadistica.II	Femenino	23	Ninguna	57	1.6	Administración	4	Urbano	3
Estadistica.II	Femenino	20	1.vez	55	1.6	Administración	7	Urbano	3
Estadistica.II	Femenino	23	Ninguna	58	1.6	Administración	6	Rural	3
Algebra	Masculino	21	Ninguna	65	1.65	Ing.Sistemas	7	Rural	3
Estadistica.II	Femenino	20	Ninguna	60	1.65	Administración	4	Urbano	4
Algebra	Masculino	18	Ninguna	60	1.73	Ing.Sistemas	6	Urbano	3
Estadistica.II.administración	Masculino	21	Ninguna	79	1.76	Administración	7	Urbano	3
Estadistica.I	Femenino	20	Ninguna	69	1.61	Administración	7	Urbano	3
Algebra	Masculino	21	Ninguna	64	1.72	Ing.Sistemas	7	Rural	2
Estadistica.II	Femenino	25	Ninguna	78	1.65	Administración	4	Urbano	3
Algebra	Masculino	18	1.vez	69	1.74	Ing.Sistemas	7	Urbano	2
Estadistica.II	Femenino	22	1.vez	69	1.64	Administración	5	Urbano	3
Algebra	Masculino	17	Ninguna	100	1.8	Ing.Industrial	7	Rural	3
Algebra	Masculino	17	Ninguna	56	1.75	Ing.Sistemas	7	Urbano	3
Estadistica.I	Masculino	18	Ninguna	108	1.77	Ing.Sistemas	6	Rural	3
Matematicas.II	Femenino	25	4.veces.o.mas	54	1.6	Administración	8	Urbano	3
Algebra	Masculino	17	Ninguna	55	1.68	Ing.Electronica	7	Urbano	3
Bioestadistica.enfermeria	Masculino	35	Ninguna	78	1.7	Enfermería	7	Urbano	3
Algebra	Masculino	18	2.veces	62	1.78	Ing.Electronica	5	Rural	1
Matematicas.II	Femenino	20	Ninguna	57	1.6	Comercio.Ext	6	Rural	5
Matematicas.II	Femenino	24	Ninguna	59	1.58	Contaduría	6	Rural	2
Matematicas.II	Femenino	20	Ninguna	57	1.65	Administración	4	Rural	3
Algebra	Femenino	21	2.veces	51	1.7	Ing.Ambiental	5	Urbano	2
Matematicas.II	Masculino	18	1.vez	83	1.83	Administración	6	Urbano	3
Matematicas.II	Masculino	18	Ninguna	56	1.72	Ing.Sistemas	7	Rural	3
Algebra	Femenino	17	Ninguna	62	1.7	Ing.Ambiental	7	Rural	1
Matematicas.II	Masculino	21	Ninguna	61	1.69	Administración	5	Urbano	3
Matematicas.II	Femenino	21	Ninguna	57	1.65	Comercio.Ext	8	Urbano	3
Algebra	Masculino	17	1.vez	65	1.8	Ing.Industrial	3	Urbano	3
Algebra	Masculino	20	1.vez	62	1.72	Ing.Industrial	6	Urbano	3
Algebra	Masculino	20	1.vez	62	1.72	Ing.Industrial	6	Urbano	3
Algebra	Femenino	19	1.vez	56	1.74	Ing.Industrial	5	Rural	2
Algebra	Masculino	20	1.vez	61	1.75	Ing.Sistemas	7	Urbano	2
Matematicas.II	Femenino	24	Ninguna	56	1.54	Administración	6	Urbano	3
Bioestadistica.enfermeria	Masculino	27	1.vez	58	1.67	Enfermería	5	Rural	2
Bioestadistica.enfermeria	Masculino	27	1.vez	58	1.67	Enfermería	5	Rural	2
Bioestadistica.enfermeria	Femenino	18	Ninguna	50	1.5	Enfermería	7	Urbano	3
Matematicas.II	Femenino	18	Ninguna	56	1.6	Comercio.Ext	7	Rural	3
Bioestadistica.enfermeria	Femenino	19	Ninguna	65	1.6	Enfermería	8	Rural	1
Bioestadistica.enfermeria	Femenino	19	Ninguna	65	1.6	Enfermería	8	Rural	1
Algebra	Masculino	20	Ninguna	73	1.63	Ing.Sistemas	7	Urbano	2
Matematicas.II	Femenino	19	Ninguna	59	1.57	Contaduría	6	Rural	2
Matematicas.II	Femenino	19	Ninguna	59	1.57	Contaduría	6	Rural	2
Matematicas.II	Femenino	19	Ninguna	59	1.57	Contaduría	6	Rural	2
Algebra	Masculino	17	Ninguna	N/A	N/A	Ing.Sistemas	7	Rural	3
Algebra	Femenino	18	1.vez	56	1.74	Ing.Industrial	5	Rural	2
Algebra	Femenino	18	1.vez	56	1.74	Ing.Industrial	5	Rural	2
Matematicas.II	Masculino	20	1.vez	N/A	N/A	Comercio.Ext	6	Rural	3
Bioestadistica.enfermeria	Femenino	20	1.vez	46	1.58	Enfermería	5	Rural	3
Bioestadistica.enfermeria	Femenino	17	Ninguna	50	1.53	Enfermería	8	Urbano	2
Estadistica.II	Femenino	21	Ninguna	63	1.61	Administración	5	Urbano	2
Estadistica.I	Femenino	27	3.veces	55	1.65	Enfermería	6	Urbano	3
Estadistica.I	Femenino	27	3.veces	55	1.65	Enfermería	6	Urbano	3
Algebra	Femenino	18	Ninguna	64	1.64	Ing.Ambiental	7	Urbano	4
Algebra	Masculino	17	Ninguna	59	1.73	Ing.Electronica	7	Rural	2
Algebra	Femenino	17	Ninguna	62	1.7	Ing.Ambiental	7	Rural	1
Matematicas.II	Femenino	21	Ninguna	50	1.6	Comercio.Ext	4	Urbano	3
Estadistica.II	Masculino	18	Ninguna	80	1.77	Administración	8	Urbano	3
Matematicas.II	Femenino	24	Ninguna	43	1.54	Comercio.Ext	6	Urbano	3
Matematicas.II	Masculino	24	Ninguna	63	1.6	Comercio.Ext	7	Rural	2
Bioestadistica.enfermeria	Masculino	30	3.veces	65	1.67	Enfermería	2	Urbano	2
Algebra	Femenino	17	Ninguna	58	1.62	Ing.Ambiental	7	Urbano	2
Algebra	Femenino	17	Ninguna	49	1.56	Ing.Ambiental	7	Urbano	1
Estadistica.II	Femenino	30	Ninguna	62	1.61	Administración	5	Rural	3
Matematicas.II	Masculino	25	Ninguna	101	1.78	Administración	4	Urbano	3
Estadistica.I	Masculino	38	1.vez	72	1.63	Enfermería	4	Urbano	3
Algebra	Femenino	17	Ninguna	49	1.54	Ing.Ambiental	6	Rural	2
Algebra	Femenino	21	1.vez	55	1.64	Ing.Industrial	6	Urbano	2
Algebra	Femenino	24	1.vez	69	1.65	Ing.Industrial	4	Urbano	2
Matematicas.II	Femenino	22	Ninguna	59	1.58	Comercio.Ext	6	Rural	2
Matematicas.II	Femenino	22	Ninguna	59	1.58	Comercio.Ext	6	Rural	2
Biologia	Masculino	19	1.vez	56	1.75	Zootecnia	5	Urbano	4
Biologia	Femenino	17	1.vez	52	1.65	Enfermería	7	Urbano	3
Biologia	Femenino	17	1.vez	52	1.65	Enfermería	7	Urbano	3
Biologia	Femenino	17	Ninguna	75	1.7	Ing.Ambiental	7	Rural	2
Matematicas.II	Femenino	19	Ninguna	55	1.73	Comercio.Ext	5	Urbano	3
Biologia	Femenino	17	Ninguna	52	1.55	Ing.Ambiental	7	Rural	2
Biologia	Femenino	17	N/A	58	1.62	Ing.Ambiental	7	Rural	2
Biologia	Masculino	21	Ninguna	63	1.79	Enfermería	7	Urbano	1
Biologia	Femenino	17	Ninguna	43	1.52	Enfermería	7	Urbano	2
Matematicas.II	Femenino	22	Ninguna	54	1.6	Comercio.Ext	4	Urbano	3
Algebra	Masculino	17	Ninguna	66	1.8	Ing.Ambiental	7	Urbano	2
Estadistica.II	Femenino	31	Ninguna	60	1.65	Administración	7	Urbano	3
Algebra	Masculino	17	Ninguna	63	1.7	Ing.Industrial	3	Rural	2
Algebra	Masculino	21	Ninguna	73	1.74	Ing.Industrial	5	Urbano	2
Matematicas.I	Femenino	17	Ninguna	70	1.78	Comercio.Ext	6	Urbano	3
Matematicas.I	Masculino	31	3.veces	75	1.75	Comercio.Ext	2	Urbano	3
Algebra	Masculino	21	Ninguna	65	1.65	Ing.Sistemas	7	Rural	3
Algebra	Masculino	19	Ninguna	65	1.73	Ing.Industrial	6	Urbano	2
Algebra	Femenino	20	Ninguna	58	1.61	Ing.Ambiental	6	Urbano	3
Algebra	Masculino	18	1.vez	61	1.62	Ing.Sistemas	6	Urbano	2
Matematicas.I	Femenino	21	Ninguna	65	1.65	Administración	5	Rural	2
Matematicas.II	Masculino	21	1.vez	67	1.81	Comercio.Ext	6	Urbano	3
Matematicas.I	Femenino	20	Ninguna	63	1.54	Contaduría	7	Urbano	3
Matematicas.I	Femenino	N/A	Ninguna	55	1.68	Comercio.Ext	8	Rural	2
Matematicas.I	Masculino	20	Ninguna	64	1.73	Administración	6	Urbano	2
Matematicas.I	Femenino	18	Ninguna	49	1.52	Comercio.Ext	7	Urbano	3
Matematicas.I	Masculino	25	Ninguna	80	N/A	Administración	4	Rural	2
Matematicas.I	Femenino	18	Ninguna	N/A	1.65	Contaduría	7	Urbano	3
Matematicas.I	Femenino	19	Ninguna	51	1.57	Administración	6	Urbano	4
Matematicas.I	Femenino	17	Ninguna	50	1.68	Administración	7	Urbano	3
Matematicas.I	Femenino	19	Ninguna	50	1.56	Administración	6	Urbano	4
Matematicas.I	Masculino	18	Ninguna	80	1.85	Administración	7	Rural	4
Matematicas.I	Femenino	26	1.vez	50	1.63	Administración	7	Rural	2
Matematicas.I	Masculino	20	Ninguna	78	1.82	Comercio.Ext	7	Urbano	3
Matematicas.I	Masculino	17	Ninguna	69	1.7	Administración	6	Urbano	1
Matematicas.I	Masculino	17	Ninguna	77	1.87	Comercio.Ext	8	Urbano	3
Matematicas.I	Femenino	19	Ninguna	59	1.65	Administración	7	Rural	3
Matematicas.I	Masculino	18	Ninguna	62	1.7	Comercio.Ext	8	Urbano	2
Matematicas.I	Femenino	19	Ninguna	56	1.56	Administración	7	Rural	2
Matematicas.I	Femenino	18	Ninguna	59	1.58	Comercio.Ext	6	Urbano	3
Matematicas.I	Femenino	17	Ninguna	49	1.52	Comercio.Ext	8	Urbano	3
Matematicas.I	Femenino	18	Ninguna	52	1.59	Comercio.Ext	6	Urbano	3
Matematicas.I	Femenino	28	Ninguna	75	1.63	Administración	6	Urbano	3
Matematicas.I	Femenino	20	Ninguna	67	1.70	Comercio.Ext	8	Urbano	1
Matematicas.I	Femenino	17	Ninguna	42	1.54	Administración	6	Urbano	2
Matematicas.I	Femenino	17	Ninguna	44	1.5	Contaduría	7	Urbano	3
Matematicas.I	Masculino	17	1.vez	59	1.68	Comercio.Ext	8	Urbano	4
Matematicas.I	Femenino	24	Ninguna	55	1.61	Comercio.Ext	8	Urbano	3
Matematicas.I	Femenino	17	Ninguna	62	1.71	Comercio.Ext	8	Rural	3
Matematicas.I	Masculino	17	1.vez	50	1.57	Administración	6	Rural	3
Matematicas.I	Masculino	18	1.vez	60	1.81	Administración	6	Rural	3
Matematicas.I	Masculino	18	1.vez	69	1.7	Comercio.Ext	4	Urbano	2
Matematicas.I	Femenino	25	Ninguna	62	1.73	Contaduría	4	Rural	3
Matematicas.I	Masculino	26	Ninguna	89	1.76	Comercio.Ext	6	Urbano	3
Matematicas.I	Masculino	19	Ninguna	73	1.72	Comercio.Ext	8	Urbano	3
Matematicas.I	Masculino	17	Ninguna	54	1.75	Administración	6	Urbano	3
Matematicas.I	Masculino	20	Ninguna	68	1.83	Administración	7	Rural	2
Matematicas.I	Femenino	18	1.vez	N/A	1.62	Comercio.Ext	7	Rural	2
Matematicas.I	Masculino	23	2.veces	84	1.70	Contaduría	4	Urbano	3
Matematicas.I	Femenino	18	1.vez	46	1.42	Comercio.Ext	7	Rural	3
Matematicas.I	Femenino	23	2.veces	55.8	1.62	Comercio.Ext	4	Urbano	2
